"player_name";"current_team";"goals"
"Jhulliam";"Indy Eleven";"2"
"S. Bracalello";"Minnesota United";"2"
"H. Chirishian";"NY Cosmos";"2"
"Nacho Novo";"Carolina RailHawks";"2"
"C. Haworth";"Ottawa Fury";"2"
"J. Ockford";"NY Cosmos";"2"
"S. Jalali";"Edmonton";"1"
"P. Mayard";"Ottawa Fury";"1"
"D. Mwanga";"NY Cosmos";"1"
"S. Saiko";"San Antonio Scorpions";"1"
"F. Sanfilippo";"Tampa Bay Rowdies";"1"
"J. Soto";"San Antonio Scorpions";"1"
"A. Walker";"Tampa Bay Rowdies";"1"
"H. Denissen";"NY Cosmos";"0"
"S. Bangura";"Atlanta Silverbacks";"0"
"H. Boakai";"Edmonton";"0"
"D. Jackson";"Carolina RailHawks";"0"
"J. Davidson";"Carolina RailHawks";"0"
"A. Maund";"San Antonio Scorpions";"0"
"C. Miller";"Indy Eleven";"0"
"R. Morris";"Tampa Bay Rowdies";"0"
